Chief Inspector of Mines , + 92 - 91 - 9210815
Deputy Chief Inspector of Mines , + 92 - 91 - 9211404
Deputy Chief Inspector of Mines , + 92 - 91 - 9211700
Director Training, + 92 - 91 - 9211745
Senior Inspector of Mines, + 92 - 91 - 9210815
